,Entity,Code,Year,Hydro (TWh growth – sub method),color
0,Africa,,1966,4.457,D
1,Africa,,1967,1.891,D
2,Africa,,1968,7.632999999999999,C
3,Africa,,1969,8.785,C
4,Africa,,1970,15.36,B
5,Africa,,1971,-4.492,E
6,Africa,,1972,10.055,B
7,Africa,,1973,4.757,D
8,Africa,,1974,12.004000000000001,B
9,Africa,,1975,5.697,C
10,Africa,,1976,11.332,B
11,Africa,,1977,11.475,B
12,Africa,,1978,1.05,D
13,Africa,,1979,9.051,C
14,Africa,,1980,-3.4819999999999998,E
15,Africa,,1981,5.225,C
16,Africa,,1982,0.037000000000000005,D
17,Africa,,1983,-13.775,G
18,Africa,,1984,-2.103,E
19,Africa,,1985,13.777000000000001,B
20,Africa,,1986,4.71,D
21,Africa,,1987,-5.803,F
22,Africa,,1988,12.603,B
23,Africa,,1989,7.452000000000001,C
24,Africa,,1990,2.718,D
25,Africa,,1991,9.436,C
26,Africa,,1992,-7.752999999999999,F
27,Africa,,1993,-3.272,E
28,Africa,,1994,2.5380000000000003,D
29,Africa,,1995,6.0360000000000005,C
30,Africa,,1996,7.077000000000001,C
31,Africa,,1997,4.2669999999999995,D
32,Africa,,1998,7.784,C
33,Africa,,1999,11.193,B
34,Africa,,2000,12.671,B
35,Africa,,2001,14.148,B
36,Africa,,2002,10.398,B
37,Africa,,2003,-7.787000000000001,F
38,Africa,,2004,10.832,B
39,Africa,,2005,2.968,D
40,Africa,,2006,6.979,C
41,Africa,,2007,6.693,C
42,Africa,,2008,3.2230000000000003,D
43,Africa,,2009,5.247999999999999,C
44,Africa,,2010,18.382,B
45,Africa,,2011,6.1129999999999995,C
46,Africa,,2012,-0.42700000000000005,E
47,Africa,,2013,15.485,B
48,Africa,,2014,13.603,B
49,Africa,,2015,-11.664000000000001,G
50,Africa,,2016,-11.993,G
51,Africa,,2017,18.323,B
52,Africa,,2018,14.524000000000001,B
53,Africa,,2019,4.617,D
54,Algeria,DZA,1966,-0.125,E
55,Algeria,DZA,1967,0.153,D
56,Algeria,DZA,1968,0.425,D
57,Algeria,DZA,1969,-0.561,E
58,Algeria,DZA,1970,0.608,D
59,Algeria,DZA,1971,-0.6940000000000001,E
60,Algeria,DZA,1972,0.45799999999999996,D
